1000	991	1004	1002	1005	998	
-1	0	0	0	0	0	
1	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	1	0	
0	0	0	0	-1	0	
-1	0	0	0	0	0	
0	0	0	0	0	0	
0	1	-1	0	1	0	
1	3	-1	1	1	0	
-1	4	-1	1	3	0	
0	2	0	1	1	0	
1	2	0	1	3	0	
0	4	-1	1	3	0	
0	7	0	3	6	0	
0	6	0	2	4	0	
2	9	0	3	6	0	
4	18	0	6	17	0	
7	37	0	12	31	0	
12	53	0	16	44	0	
-2	0	0	-1	-2	0	
-9	-31	3	-12	-27	0	
-12	-55	20	-18	-41	11	
-2	-18	9	-4	-12	8	
0	-7	0	-1	-5	2	
-1	1	-4	0	0	-2	
1	10	-5	2	7	-7	
6	45	-15	10	31	-10	
7	37	-7	11	29	-2	
6	23	-1	9	22	0	
0	-3	0	0	-6	0	
-6	-25	0	-8	-26	0	
-10	-51	6	-18	-40	0	
-3	-24	7	-7	-15	1	
-1	-10	5	-3	-5	0	
0	0	-2	0	-1	-1	
1	10	-7	3	5	0	
7	41	-8	14	31	0	
8	36	-1	12	33	0	
6	26	0	9	26	0	
1	6	1	2	6	0	
-9	-37	-1	-12	-35	0	
-8	-37	4	-12	-29	3	
-5	-27	6	-7	-18	6	
-1	-10	4	-2	-4	4	
0	2	-4	2	7	0	
2	20	-7	5	26	-3	
5	30	-2	8	27	-4	
8	38	-1	10	28	-5	
5	34	0	6	19	-1	
-4	-12	0	-5	-15	0	
-7	-37	6	-11	-37	1	
-5	-42	13	-11	-37	3	
-2	-25	9	-5	-19	4	
-1	-7	-2	-1	-4	3	
-1	6	-10	4	13	2	
2	21	-8	5	26	-4	
6	34	-5	10	34	-5	
8	38	-3	12	32	-4	
4	22	0	3	6	0	
-7	-30	2	-10	-34	0	
-8	-51	8	-13	-45	3	
-4	-47	8	-12	-35	5	
0	-4	-3	-2	-7	-2	
0	10	-7	2	6	-4	
3	31	-4	8	26	-1	
6	43	-4	10	42	-1	
3	22	0	5	27	0	
-5	-34	5	-8	-31	6	
-6	-42	8	-9	-41	8	
-2	-19	2	-4	-21	0	
2	7	-8	0	2	-8	
9	52	-7	14	40	-6	
8	41	0	12	38	0	
3	12	0	4	16	0	
-7	-27	1	-8	-24	1	
-12	-66	10	-18	-55	8	
-3	-21	9	-4	-16	6	
0	0	-1	-1	-2	-2	
2	14	-9	3	9	-7	
6	33	-7	9	26	-5	
13	56	-3	18	57	-1	
1	5	0	3	9	0	
-8	-33	2	-10	-32	2	
-12	-58	10	-20	-59	9	
-2	-14	6	-4	-13	3	
1	3	-2	1	3	-3	
3	25	-8	6	19	-6	
8	39	-6	12	33	-4	
12	45	-2	16	48	-1	
-4	-11	0	-4	-6	0	
-9	-41	3	-13	-37	1	
-8	-43	7	-13	-39	2	
-3	-24	7	-6	-21	1	
1	-10	1	-3	-9	-1	
0	2	-3	0	0	-2	
0	9	-5	2	3	0	
5	40	-8	10	27	-1	
8	35	-2	12	28	0	
11	32	0	13	32	0	
-1	-4	0	0	2	0	
-7	-29	0	-7	-20	0	
-9	-37	0	-13	-31	0	
-7	-35	1	-13	-30	0	
-1	-13	2	-4	-9	1	
0	-7	4	-2	-4	1	
0	1	2	1	1	0	
0	13	-2	3	7	-1	
5	43	-5	11	30	-1	
7	33	-2	11	28	0	
5	19	0	7	24	0	
-3	-18	0	-3	-4	0	
-7	-36	3	-11	-32	3	
-5	-32	6	-11	-34	2	
-1	-15	7	-6	-18	1	
-1	-3	1	-1	-3	0	
1	4	-5	1	2	-4	
-1	7	-6	1	3	-2	
2	18	-4	5	11	0	
5	31	-1	9	25	0	
9	35	-1	13	33	0	
6	27	0	8	29	0	
-5	-22	0	-7	-15	1	
-9	-45	2	-13	-36	1	
-7	-54	13	-15	-45	4	
0	-12	8	-3	-10	2	
-1	-2	0	0	-1	-2	
1	3	-5	0	2	-3	
-1	8	-6	2	5	-2	
4	47	-9	11	37	-1	
8	45	-3	13	38	0	
8	28	0	10	27	0	
0	-3	0	0	5	0	
-9	-33	2	-10	-27	4	
-10	-63	12	-18	-58	5	
-1	-20	8	-5	-20	0	
0	-6	1	-1	-6	-2	
0	0	-3	-1	-1	-2	
0	7	-4	1	5	-3	
1	20	-6	4	12	-1	
5	37	-6	9	28	-1	
8	41	-4	11	33	0	
3	7	0	3	6	0	
-10	-53	2	-14	-44	0	
-5	-35	5	-10	-25	1	
-2	-18	7	-4	-12	2	
1	2	4	1	3	3	
2	30	-7	7	19	-3	
6	45	-7	12	32	-3	
5	25	-4	8	24	0	
-2	-17	0	-4	-12	0	
-9	-64	7	-17	-50	1	
-3	-25	8	-7	-16	4	
0	-8	6	-2	-6	4	
0	6	-1	2	4	0	
2	27	-7	6	19	-4	
10	68	-11	17	42	-4	
6	24	-2	8	18	-1	
-3	-18	0	-3	-10	0	
-8	-44	2	-12	-30	0	
-6	-35	5	-11	-25	0	
0	-19	7	-5	-11	1	
0	-2	3	0	1	1	
0	8	0	2	6	0	
2	31	-7	7	19	-1	
12	62	-9	20	43	-1	
5	13	-1	5	12	0	
-5	-25	0	-7	-20	0	
-9	-42	2	-13	-32	0	
-5	-30	5	-10	-22	0	
-1	-14	6	-4	-11	0	
0	0	-1	-1	-2	0	
0	1	-3	1	0	0	
1	13	-5	2	5	0	
4	28	-2	8	20	0	
7	42	-1	13	33	0	
8	33	0	11	32	0	
3	11	0	5	16	0	
-4	-15	0	-5	-12	0	
-11	-53	-1	-16	-47	1	
-6	-34	0	-10	-27	0	
-2	-23	2	-7	-17	0	
0	-10	3	-3	-6	0	
0	-1	3	0	-1	-1	
0	4	-2	0	0	0	
0	7	-1	2	4	0	
6	46	-4	14	38	0	
9	48	-1	15	41	0	
10	33	0	12	30	0	
2	10	1	3	12	0	
-5	-16	-1	-4	-9	0	
-13	-57	0	-19	-52	0	
-6	-34	1	-11	-34	0	
-2	-23	2	-7	-19	0	
0	-14	5	-4	-9	0	
0	-6	4	-2	-3	0	
-1	3	0	1	0	0	
1	4	-2	0	2	0	
-1	11	-4	3	7	1	
4	28	-4	9	22	0	
14	67	-2	21	56	-1	
8	29	0	10	27	0	
1	2	0	2	6	0	
-7	-26	0	-7	-15	0	
-10	-41	1	-13	-34	0	
-9	-57	13	-19	-51	2	
-1	-16	10	-5	-14	1	
0	-2	1	-1	-3	-1	
1	7	-5	1	3	-2	
0	5	-4	0	0	0	
0	6	-6	2	1	0	
1	17	-6	5	13	0	
7	36	-3	12	34	0	
10	42	-1	15	42	0	
8	31	0	12	32	0	
-4	-13	0	-5	-15	0	
-9	-39	0	-13	-39	0	
-9	-42	1	-14	-39	0	
-5	-39	6	-13	-28	0	
0	-12	4	-3	-5	0	
0	-3	1	0	0	0	
0	6	-2	1	4	0	
2	22	-4	6	13	0	
7	48	-4	15	43	0	
9	48	-2	14	45	0	
1	-2	0	2	2	0	
-12	-66	0	-18	-62	0	
-5	-31	0	-11	-29	0	
-2	-11	0	-4	-10	0	
4	30	1	8	25	0	
8	50	-1	15	41	0	
10	39	0	12	35	0	
1	-7	0	1	-3	0	
-13	-66	0	-19	-56	0	
-7	-43	2	-15	-35	0	
-3	-18	3	-7	-15	0	
0	7	-1	2	7	0	
4	39	-2	11	27	0	
8	56	-2	15	40	0	
8	30	0	8	20	0	
-6	-39	0	-10	-30	0	
-12	-72	3	-20	-53	0	
-2	-19	2	-6	-13	0	
0	6	0	2	6	0	
4	35	-3	9	24	0	
8	55	-2	15	48	0	
12	57	0	16	51	0	
-5	-23	0	-7	-22	0	
-10	-58	4	-16	-46	2	
-7	-53	5	-13	-38	0	
-2	-25	1	-6	-20	-1	
0	1	-1	0	-3	-1	
0	-1	0	-1	-2	0	
0	0	0	0	-1	0	
0	4	-1	1	1	0	
0	10	-1	2	6	1	
1	19	0	5	15	0	
4	35	-2	9	31	0	
11	59	-5	19	57	-1	
4	20	0	5	21	0	
-2	1	0	-2	-3	0	
-7	-24	4	-9	-21	1	
-6	-43	6	-11	-36	1	
-4	-44	5	-10	-37	0	
-1	-35	5	-9	-30	-2	
0	-7	3	-2	-4	0	
0	2	-1	0	1	0	
1	5	-3	1	2	0	
0	6	-3	2	4	0	
-1	16	-6	5	11	0	
7	47	-8	15	41	0	
9	37	-2	13	36	0	
6	27	0	8	28	0	
1	3	0	1	7	0	
-6	-26	0	-8	-25	0	
-9	-43	3	-14	-40	3	
-8	-48	8	-15	-43	1	
0	-10	4	-4	-11	-2	
0	-2	3	0	-2	-1	
0	0	0	-1	-1	-1	
0	1	-3	1	0	0	
0	8	-4	1	3	0	
1	16	-6	5	11	0	
9	44	-5	15	42	0	
8	31	0	12	37	0	
5	21	0	7	29	0	
-2	-5	0	-1	2	0	
-7	-33	0	-9	-31	0	
-9	-41	0	-13	-45	0	
-5	-43	8	-15	-41	1	
0	-13	5	-4	-11	1	
0	-1	2	0	-2	1	
1	3	-2	0	1	-1	
0	7	-4	2	4	-1	
-1	10	-4	2	5	-1	
3	24	-3	8	19	0	
12	58	-1	19	55	0	
8	34	-1	12	38	0	
1	7	0	2	11	0	
-7	-26	0	-8	-28	0	
-13	-63	1	-22	-67	0	
-3	-24	1	-9	-25	0	
-1	-11	6	-4	-9	0	
0	-3	7	-1	0	0	
0	-1	1	0	1	0	
0	8	-3	2	7	2	
1	25	-4	7	24	2	
6	45	-5	12	46	-1	
8	29	-4	11	27	-3	
-5	-34	0	-8	-36	1	
-6	-42	0	-13	-44	-1	
-3	-24	0	-8	-24	0	
-1	-3	0	-1	-2	0	
1	19	0	5	17	0	
11	63	0	21	71	0	
9	35	0	12	43	0	
0	-5	0	0	-11	0	
-14	-67	2	-23	-72	1	
-6	-37	5	-12	-33	3	
-1	-14	5	-4	-11	2	
0	6	-2	2	5	-2	
2	22	-4	6	16	-3	
6	41	-4	13	39	-1	
11	46	-2	17	49	0	
5	18	0	8	23	0	
-5	-25	0	-7	-25	0	
-14	-69	3	-25	-72	3	
-4	-29	6	-12	-30	1	
0	-8	3	-3	-9	0	
1	22	-7	7	17	-3	
4	34	-4	11	34	-1	
9	42	-1	15	48	0	
7	24	0	9	29	0	
-8	-37	0	-11	-42	1	
-9	-53	6	-17	-49	6	
-4	-37	7	-11	-31	7	
0	-14	1	-3	-12	-2	
-1	1	-7	0	2	-7	
1	3	-3	0	0	-5	
0	2	-2	0	0	0	
0	1	0	1	-1	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	-1	-1	0	0	
0	-1	1	0	-1	0	
-1	-1	1	-1	-2	1	
1	-2	1	-1	-2	-1	
0	-1	1	-1	-2	0	
-1	0	-1	0	-1	1	
0	0	0	0	0	-1	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
1	0	0	0	0	0	
0	0	0	0	0	0	
-1	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	1	
0	0	0	0	1	-1	
0	0	0	0	0	0	
0	0	0	0	-1	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
1	0	0	0	0	0	
-1	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
0	0	0	0	0	0	
